timestamp,date,length,low_price,high_price,opening_price,closing_price,volume,bdb_low,bdb_high,mme12,mme26,stochastic,macd
1504314000,2017-09-02T01:00:00Z,3600,4172.5,4185.0,4172.75,4185.0,9.827998099999995,4057.0377710313073,4147.382228968692,3587.7670488633607,3553.1025343061083,1.0,34.66451455725246
1504317600,2017-09-02T02:00:00Z,3600,4145.0,4185.0,4185.0,4153.04,15.091203129999984,4067.6296430632046,4150.748356936796,3590.1829850117056,3557.1465222490974,0.2009999999999991,33.03646276260815
1504321200,2017-09-02T03:00:00Z,3600,4076.02,4163.37,4154.73,4076.02,31.74474859000003,4075.5255871925883,4148.814412807412,3580.237034555027,3555.2350863744205,0.0,25.001948180606632
1504324800,2017-09-02T04:00:00Z,3600,4072.02,4106.23,4079.73,4094.01,14.755165059999989,4078.846265052377,4148.822734947621,3574.3408905295523,3554.759562209395,0.6427945045308537,19.581328320157354
1504328400,2017-09-02T05:00:00Z,3600,3850.18,4094.02,4094.01,3913.98,185.64284954999977,4050.9813412372714,4161.4466587627285,3541.708654707233,3541.017359128632,0.26164698162729716,0.6912955786010571
1504332000,2017-09-02T06:00:00Z,3600,3911.35,4049.0,3911.35,4048.99,141.11149346000002,4049.616806712458,4161.370193287541,3535.156003015128,3538.6045457656173,0.999927351979657,-3.448542750489196
1504335600,2017-09-02T07:00:00Z,3600,4010.02,4103.36,4048.99,4025.01,100.00776175000017,4044.43307137475,4161.12692862525,3525.103555581856,3534.7566740651578,0.1605956717377361,-9.653118483301569
1504339200,2017-09-02T08:00:00Z,3600,3956.15,4030.0,4025.01,4019.2,129.72179100000045,4037.570608705795,4159.8293912942045,3515.3937418222745,3530.3674870296827,0.8537576167907895,-14.973745207408228
1504342800,2017-09-02T09:00:00Z,3600,3928.0,4020.59,4019.09,3959.96,100.52686576000035,4023.2463549078066,4159.523645092195,3498.5741870992197,3521.8898640957295,0.34517766497461916,-23.315676996509865
1504346400,2017-09-02T10:00:00Z,3600,3944.01,4010.0,3959.96,4009.8,68.59270938999998,4017.0120028505303,4157.86299714947,3491.8134133119747,3517.2834035047326,0.9969692377633003,-25.469990192757905
1504350000,2017-09-02T11:00:00Z,3600,3993.41,4027.99,4009.77,4009.48,63.85924958999994,4010.757813990985,4155.568186009014,3485.2165287318508,3512.9372949291965,0.4647194910352862,-27.72076619734571
1504353600,2017-09-02T12:00:00Z,3600,3940.02,4026.24,4009.48,3985.37,74.84978216000026,4001.875031313796,4152.271968686204,3475.8642510851587,3507.1586354154347,0.5259800510322432,-31.29438433027599
1504357200,2017-09-02T13:00:00Z,3600,3960.0,3984.96,3984.5,3963.99,49.21251567000002,3991.297105893806,4148.921894106194,3464.4071672594428,3500.0662676114716,0.15985576923076025,-35.65910035202887
1504360800,2017-09-02T14:00:00Z,3600,3812.01,3964.0,3964.0,3870.0,232.95991455000015,3969.2417936716583,4148.919206328342,3440.9015783178224,3486.327720635347,0.38153825909599226,-45.42614231752441
1504364400,2017-09-02T15:00:00Z,3600,3825.0,3927.0,3869.99,3926.98,119.7448271900005,3956.252649143111,4141.606350856889,3431.3850647337135,3477.7676054771187,0.9998039215686276,-46.382540743405116
1504368000,2017-09-02T16:00:00Z,3600,3901.11,3936.0,3926.99,3906.48,77.11269138000023,3942.135844666871,4131.870155333128,3419.804705758794,3468.499489926228,0.1539122957867558,-48.69478416743368
1504371600,2017-09-02T17:00:00Z,3600,3902.04,3972.82,3906.4,3937.4,68.35472838999995,3932.646795957751,4123.100204042248,3418.495977861,3462.142934688946,0.4995761514552137,-43.646956827945814
1504375200,2017-09-02T18:00:00Z,3600,3919.59,3939.99,3935.96,3923.72,30.958096600000168,3922.7824545213657,4112.338545478634,3412.487400960086,3455.1222305053097,0.20245098039214354,-42.634829545223965
1504378800,2017-09-02T19:00:00Z,3600,3905.3,3940.0,3923.72,3940.0,40.708437470000035,3916.675554445064,4095.4474455549357,3410.407644880605,3449.864778643889,1.0,-39.45713376328422
1504382400,2017-09-02T20:00:00Z,3600,3830.0,3953.88,3940.0,3866.5,140.21614796000048,3905.0780560853937,4076.414943914606,3397.449436778489,3439.6846051349303,0.2946399741685499,-42.235168356441136
1504386000,2017-09-02T21:00:00Z,3600,3825.01,3871.99,3865.68,3842.3,70.39060918000004,3894.487729154887,4052.735270845113,3383.986245849106,3428.0717489433255,0.36802894848872125,-44.08550309421935
1504389600,2017-09-02T22:00:00Z,3600,3835.35,3876.99,3839.11,3850.53,43.99230749000005,3886.517160812474,4030.454839187526,3372.8321308375284,3417.776777428273,0.3645533141210456,-44.94464659074447
1504393200,2017-09-02T23:00:00Z,3600,3850.52,3909.96,3850.53,3907.91,48.677536749999966,3882.6561281842387,4017.5048718157614,3372.238893457384,3412.7405983605836,0.9655114401076685,-40.501704903199425
